Season,Week,Team,Score,Opponent,Win
2016,1,AFB,100.5,MCHO,0
2016,1,ATOM,112.5,DMPS,0
2016,1,BUTT,106.3,SHSR,0
2016,1,DMPS,145.5,ATOM,1
2016,1,FLUF,81,PHSH,1
2016,1,MCHO,105.6,AFB,1
2016,1,OCTO,100.4,SONG,0
2016,1,PHSH,80.3,FLUF,0
2016,1,ROBO,144.8,TGIF,0
2016,1,SHSR,121.3,BUTT,1
2016,1,SONG,155.4,OCTO,1
2016,1,TGIF,148.6,ROBO,1
2016,2,AFB,125.5,DMPS,1
2016,2,ATOM,107,BUTT,1
2016,2,BUTT,104.5,ATOM,0
2016,2,DMPS,107,AFB,0
2016,2,FLUF,78.4,SONG,0
2016,2,MCHO,103.8,ROBO,0
2016,2,OCTO,95.1,TGIF,1
2016,2,PHSH,118.1,SHSR,1
2016,2,ROBO,114.9,MCHO,1
2016,2,SHSR,84.7,PHSH,0
2016,2,SONG,128.9,FLUF,1
2016,2,TGIF,88.2,OCTO,0
2016,3,AFB,129.3,ROBO,1
2016,3,ATOM,143.4,MCHO,1
2016,3,BUTT,68.1,DMPS,0
2016,3,DMPS,94.2,BUTT,1
2016,3,FLUF,152.7,SHSR,1
2016,3,MCHO,95.7,ATOM,0
2016,3,OCTO,99.8,PHSH,0
2016,3,PHSH,138.1,OCTO,1
2016,3,ROBO,81.6,AFB,0
2016,3,SHSR,126.7,FLUF,0
2016,3,SONG,90.8,TGIF,0
2016,3,TGIF,120,SONG,1
2016,4,AFB,111,ATOM,1
2016,4,ATOM,102.7,AFB,0
2016,4,BUTT,93.3,MCHO,0
2016,4,DMPS,86.8,ROBO,0
2016,4,FLUF,109.1,TGIF,0
2016,4,MCHO,116.1,BUTT,1
2016,4,OCTO,84,SHSR,0
2016,4,PHSH,88.6,SONG,0
2016,4,ROBO,111.1,DMPS,1
2016,4,SHSR,103.3,OCTO,1
2016,4,SONG,118.2,PHSH,1
2016,4,TGIF,134,FLUF,1
2016,5,AFB,90.5,BUTT,0
2016,5,ATOM,137.6,ROBO,1
2016,5,BUTT,100.2,AFB,1
2016,5,DMPS,122.8,MCHO,1
2016,5,FLUF,136.4,OCTO,1
2016,5,MCHO,120.2,DMPS,0
2016,5,OCTO,112.7,FLUF,0
2016,5,PHSH,123.3,TGIF,1
2016,5,ROBO,96.5,ATOM,0
2016,5,SHSR,99,SONG,1
2016,5,SONG,56.7,SHSR,0
2016,5,TGIF,98.5,PHSH,0
2016,6,AFB,122.6,SONG,1
2016,6,ATOM,114.1,PHSH,1
2016,6,BUTT,126.2,ROBO,1
2016,6,DMPS,104.6,FLUF,1
2016,6,FLUF,72.1,DMPS,0
2016,6,MCHO,88.2,OCTO,0
2016,6,OCTO,109.9,MCHO,1
2016,6,PHSH,82.4,ATOM,0
2016,6,ROBO,91.7,BUTT,0
2016,6,SHSR,95.2,TGIF,1
2016,6,SONG,110.2,AFB,0
2016,6,TGIF,86.3,SHSR,0
2016,7,AFB,110.9,SHSR,1
2016,7,ATOM,93.4,TGIF,0
2016,7,BUTT,99.8,SONG,1
2016,7,DMPS,143.7,OCTO,1
2016,7,FLUF,119,MCHO,1
2016,7,MCHO,107.4,FLUF,0
2016,7,OCTO,109,DMPS,0
2016,7,PHSH,67,ROBO,0
2016,7,ROBO,147,PHSH,1
2016,7,SHSR,79.3,AFB,0
2016,7,SONG,95.8,BUTT,0
2016,7,TGIF,126.1,ATOM,1
2016,8,AFB,123.8,TGIF,1
2016,8,ATOM,120,OCTO,1
2016,8,BUTT,87.5,FLUF,0
2016,8,DMPS,91.1,SHSR,0
2016,8,FLUF,133.9,BUTT,1
2016,8,MCHO,97.8,PHSH,0
2016,8,OCTO,110.8,ATOM,0
2016,8,PHSH,114.2,MCHO,1
2016,8,ROBO,66.4,SONG,0
2016,8,SHSR,123.9,DMPS,1
2016,8,SONG,117.2,ROBO,1
2016,8,TGIF,112.3,AFB,0
2016,9,AFB,,PHSH,NA
2016,9,ATOM,,SONG,NA
2016,9,BUTT,,OCTO,NA
2016,9,DMPS,,TGIF,NA
2016,9,FLUF,,ROBO,NA
2016,9,MCHO,,SHSR,NA
2016,9,OCTO,,BUTT,NA
2016,9,PHSH,,AFB,NA
2016,9,ROBO,,FLUF,NA
2016,9,SHSR,,MCHO,NA
2016,9,SONG,,ATOM,NA
2016,9,TGIF,,DMPS,NA
2016,10,AFB,,BUTT,NA
2016,10,ATOM,,ROBO,NA
2016,10,BUTT,,AFB,NA
2016,10,DMPS,,MCHO,NA
2016,10,FLUF,,OCTO,NA
2016,10,MCHO,,DMPS,NA
2016,10,OCTO,,FLUF,NA
2016,10,PHSH,,TGIF,NA
2016,10,ROBO,,ATOM,NA
2016,10,SHSR,,SONG,NA
2016,10,SONG,,SHSR,NA
2016,10,TGIF,,PHSH,NA
2016,11,AFB,,MCHO,NA
2016,11,ATOM,,DMPS,NA
2016,11,BUTT,,ROBO,NA
2016,11,DMPS,,ATOM,NA
2016,11,FLUF,,PHSH,NA
2016,11,MCHO,,AFB,NA
2016,11,OCTO,,SONG,NA
2016,11,PHSH,,FLUF,NA
2016,11,ROBO,,BUTT,NA
2016,11,SHSR,,TGIF,NA
2016,11,SONG,,OCTO,NA
2016,11,TGIF,,SHSR,NA
2016,12,AFB,,ATOM,NA
2016,12,ATOM,,AFB,NA
2016,12,BUTT,,MCHO,NA
2016,12,DMPS,,ROBO,NA
2016,12,FLUF,,TGIF,NA
2016,12,MCHO,,BUTT,NA
2016,12,OCTO,,SHSR,NA
2016,12,PHSH,,SONG,NA
2016,12,ROBO,,DMPS,NA
2016,12,SHSR,,OCTO,NA
2016,12,SONG,,PHSH,NA
2016,12,TGIF,,FLUF,NA
2016,13,AFB,,ROBO,NA
2016,13,ATOM,,MCHO,NA
2016,13,BUTT,,DMPS,NA
2016,13,DMPS,,BUTT,NA
2016,13,FLUF,,SHSR,NA
2016,13,MCHO,,ATOM,NA
2016,13,OCTO,,PHSH,NA
2016,13,PHSH,,OCTO,NA
2016,13,ROBO,,AFB,NA
2016,13,SHSR,,FLUF,NA
2016,13,SONG,,TGIF,NA
2016,13,TGIF,,SONG,NA
2016,14,AFB,,DMPS,NA
2016,14,ATOM,,BUTT,NA
2016,14,BUTT,,ATOM,NA
2016,14,DMPS,,AFB,NA
2016,14,FLUF,,SONG,NA
2016,14,MCHO,,ROBO,NA
2016,14,OCTO,,TGIF,NA
2016,14,PHSH,,SHSR,NA
2016,14,ROBO,,MCHO,NA
2016,14,SHSR,,PHSH,NA
2016,14,SONG,,FLUF,NA
2016,14,TGIF,,OCTO,NA
2015,1,AFB,79.7,ATOM,0
2015,1,ATOM,98.6,AFB,1
2015,1,DMPS,144.9,PHSH,1
2015,1,FLUF,126.4,TGIF,1
2015,1,MCHO,102,SHSR,1
2015,1,OCTO,114,SLNH,0
2015,1,PHSH,110.9,DMPS,0
2015,1,ROBO,160.3,SONG,1
2015,1,SHSR,89.5,MCHO,0
2015,1,SLNH,163.6,OCTO,1
2015,1,SONG,103.8,ROBO,0
2015,1,TGIF,118.7,FLUF,0
2015,2,AFB,132.8,SHSR,1
2015,2,ATOM,91.9,TGIF,0
2015,2,DMPS,96.9,MCHO,1
2015,2,FLUF,105.6,ROBO,0
2015,2,MCHO,83.9,DMPS,0
2015,2,OCTO,113.8,SONG,0
2015,2,PHSH,106.9,SLNH,0
2015,2,ROBO,112.3,FLUF,1
2015,2,SHSR,123.3,AFB,0
2015,2,SLNH,115,PHSH,1
2015,2,SONG,120,OCTO,1
2015,2,TGIF,104.6,ATOM,1
2015,3,AFB,93.2,MCHO,0
2015,3,ATOM,164.6,FLUF,0
2015,3,DMPS,75.7,SLNH,0
2015,3,FLUF,173.1,ATOM,1
2015,3,MCHO,107.5,AFB,1
2015,3,OCTO,119.2,ROBO,0
2015,3,PHSH,160.8,SHSR,1
2015,3,ROBO,143.7,OCTO,1
2015,3,SHSR,129.1,PHSH,0
2015,3,SLNH,109.1,DMPS,1
2015,3,SONG,127.5,TGIF,1
2015,3,TGIF,78.6,SONG,0
2015,4,AFB,92.4,PHSH,1
2015,4,ATOM,101,SONG,0
2015,4,DMPS,90.1,SHSR,0
2015,4,FLUF,105.6,OCTO,0
2015,4,MCHO,89,SLNH,1
2015,4,OCTO,109.2,FLUF,1
2015,4,PHSH,75.5,AFB,0
2015,4,ROBO,126.6,TGIF,1
2015,4,SHSR,119.1,DMPS,1
2015,4,SLNH,59.3,MCHO,0
2015,4,SONG,112.1,ATOM,1
2015,4,TGIF,111.3,ROBO,0
2015,5,AFB,94.3,DMPS,0
2015,5,ATOM,84.7,ROBO,0
2015,5,DMPS,123.6,AFB,1
2015,5,FLUF,126.5,SONG,1
2015,5,MCHO,73.3,PHSH,0
2015,5,OCTO,109.5,TGIF,0
2015,5,PHSH,105.1,MCHO,1
2015,5,ROBO,142.2,ATOM,1
2015,5,SHSR,94.8,SLNH,0
2015,5,SLNH,108.7,SHSR,1
2015,5,SONG,97.2,FLUF,0
2015,5,TGIF,138.3,OCTO,1
2015,6,AFB,119,SLNH,1
2015,6,ATOM,144,OCTO,1
2015,6,DMPS,101.5,ROBO,0
2015,6,FLUF,126.2,MCHO,1
2015,6,MCHO,120.5,FLUF,0
2015,6,OCTO,126.1,ATOM,0
2015,6,PHSH,118.3,SONG,1
2015,6,ROBO,136.4,DMPS,1
2015,6,SHSR,98.3,TGIF,0
