ID,PrevWeek,2WeekAvg,3WeekAvg,4WeekAvg,Max,Min,Score
AFB-2015-5,92.4,92.8,99.53333333,102.3375,132.8,79.7,94.3
ATOM-2015-5,101,132.8,131.2833333,127.775,164.6,91.9,84.7
DMPS-2015-5,90.1,82.9,84.03333333,87.48333333,144.9,75.7,123.6
FLUF-2015-5,105.6,139.35,139.35,137.4041667,173.1,105.6,126.5
MCHO-2015-5,89,98.25,97.4,96.74583333,107.5,83.9,73.3
OCTO-2015-5,109.2,114.2,114.9666667,115.1333333,119.2,109.2,109.5
PHSH-2015-5,75.5,118.15,123.3833333,123.9208333,160.8,75.5,105.1
ROBO-2015-5,126.6,135.15,132.7666667,132.2666667,160.3,112.3,142.2
SHSR-2015-5,119.1,124.1,124.8,123.5,129.1,89.5,94.8
SLNH-2015-5,59.3,84.2,93.48333333,100.3958333,163.6,59.3,108.7
SONG-2015-5,112.1,119.8,121.1166667,120.7875,127.5,103.8,97.2
TGIF-2015-5,111.3,94.95,93.83333333,94.94583333,118.7,78.6,138.3
AFB-2015-6,94.3,93.35,93.16666667,94.75833333,132.8,79.7,119
ATOM-2015-6,84.7,92.85,106.1666667,112.4458333,164.6,84.7,144
DMPS-2015-6,123.6,106.85,98.86666667,95.15833333,144.9,75.7,101.5
FLUF-2015-6,126.5,116.05,123.8166667,127.7,173.1,105.6,126.2
MCHO-2015-6,73.3,81.15,86.85,89.4875,107.5,73.3,120.5
OCTO-2015-6,109.5,109.35,110.9666667,111.9666667,119.2,109.2,126.1
PHSH-2015-6,105.1,90.3,99.58333333,105.5333333,160.8,75.5,118.3
ROBO-2015-6,142.2,134.4,134.65,134.1791667,160.3,112.3,136.4
SHSR-2015-6,94.8,106.95,112.6666667,115.7,129.1,89.5,98.3
SLNH-2015-6,108.7,84,84.06666667,86.42083333,163.6,59.3,81.9
SONG-2015-6,97.2,104.65,109.7,112.5541667,127.5,97.2,103.1
TGIF-2015-6,138.3,124.8,114.85,109.5958333,138.3,78.6,133.7
AFB-2015-7,119,106.65,102.2166667,99.95416667,132.8,79.7,79.8
ATOM-2015-7,144,114.35,107.1833333,106.9291667,164.6,84.7,82.3
DMPS-2015-7,101.5,112.55,110.65,107.7041667,144.9,75.7,149.6
FLUF-2015-7,126.2,126.35,122.9166667,123.1416667,173.1,105.6,116.9
MCHO-2015-7,120.5,96.9,91.65,90.45,120.5,73.3,116.5
OCTO-2015-7,126.1,117.8,114.9833333,113.9791667,126.1,109.2,116.8
PHSH-2015-7,118.3,111.7,104.5666667,103.3208333,160.8,75.5,93.7
ROBO-2015-7,136.4,139.3,137.6666667,136.9125,160.3,112.3,121.8
SHSR-2015-7,98.3,96.55,100.0166667,103.1791667,129.1,89.5,180.8
SLNH-2015-7,81.9,95.3,91.53333333,89.66666667,163.6,59.3,100.1
SONG-2015-7,103.1,100.15,101.65,103.6625,127.5,97.2,89
TGIF-2015-7,133.7,136,132.2666667,127.9125,138.3,78.6,101.8
AFB-2015-8,79.8,99.4,101.8166667,101.9166667,132.8,79.7,91
ATOM-2015-8,82.3,113.15,113.55,111.9583333,164.6,82.3,101.5
DMPS-2015-8,149.6,125.55,121.2166667,118.575,149.6,75.7,101
FLUF-2015-8,116.9,121.55,123.15,123.0916667,173.1,105.6,149
MCHO-2015-8,116.5,118.5,111.3,106.3875,120.5,73.3,149.4
OCTO-2015-8,116.8,121.45,120.2333333,118.9208333,126.1,109.2,125.2
PHSH-2015-8,93.7,106,107.9,107.0666667,160.8,75.5,119.2
ROBO-2015-8,121.8,129.1,132.5,133.7916667,160.3,112.3,110.9
SHSR-2015-8,180.8,139.55,125.2166667,118.9166667,180.8,89.5,109.9
SLNH-2015-8,100.1,91,92.43333333,92.20833333,163.6,59.3,138.8
SONG-2015-8,89,96.05,97.41666667,98.475,127.5,89,90.2
TGIF-2015-8,101.8,117.75,123.8333333,125.9416667,138.3,78.6,88.9
AFB-2015-9,91,85.4,90.06666667,93.00416667,132.8,79.7,110.4
ATOM-2015-9,101.5,91.9,98.98333333,102.625,164.6,82.3,98.5
DMPS-2015-9,101,125.3,125.3833333,124.3416667,149.6,75.7,123
FLUF-2015-9,149,132.95,129.15,127.65,173.1,105.6,137.5
MCHO-2015-9,149.4,132.95,128.1333333,123.925,149.4,73.3,108.2
OCTO-2015-9,125.2,121,121.15,120.9208333,126.1,109.2,107.9
PHSH-2015-9,119.2,106.45,106.3,106.7,160.8,75.5,86.6
ROBO-2015-9,110.9,116.35,120.6,123.575,160.3,110.9,122.7
SHSR-2015-9,109.9,145.35,143.4166667,138.8666667,180.8,89.5,131.5
SLNH-2015-9,138.8,119.45,109.9666667,105.5833333,163.6,59.3,82.4
SONG-2015-9,90.2,89.6,91.75,93.16666667,127.5,89,111.7
TGIF-2015-9,88.9,95.35,102.8166667,108.0708333,138.3,78.6,144.4
AFB-2015-10,110.4,100.7,95.6,94.21666667,132.8,79.7,65.8
ATOM-2015-10,98.5,100,97.3,97.72083333,164.6,82.3,106.6
DMPS-2015-10,123,112,116.4333333,118.6708333,149.6,75.7,145.4
FLUF-2015-10,137.5,143.25,139.8166667,137.15,173.1,105.6,110.1
MCHO-2015-10,108.2,128.8,130.1833333,129.6708333,149.4,73.3,106.3
OCTO-2015-10,107.9,116.55,118.0333333,118.8125,126.1,107.9,113.9
PHSH-2015-10,86.6,102.9,104.0833333,104.6375,160.8,75.5,131.4
ROBO-2015-10,122.7,116.8,116.65,117.6375,160.3,110.9,135.1
SHSR-2015-10,131.5,120.7,128.9166667,132.5416667,180.8,89.5,100.8
SLNH-2015-10,82.4,110.6,113.55,112.6541667,163.6,59.3,95.7
SONG-2015-10,111.7,100.95,97.16666667,95.8125,127.5,89,103
TGIF-2015-10,144.4,116.65,109.55,107.8666667,144.4,78.6,76.5
AFB-2015-11,65.8,88.1,92.3,93.125,132.8,65.8,108
ATOM-2015-11,106.6,102.55,101.7,100.6,164.6,82.3,121.4
DMPS-2015-11,145.4,134.2,126.8,124.2083333,149.6,75.7,72.5
FLUF-2015-11,110.1,123.8,130.2833333,132.6666667,173.1,105.6,132.8
MCHO-2015-11,106.3,107.25,114.4333333,118.3708333,149.4,73.3,79.5
OCTO-2015-11,113.9,110.9,112.7833333,114.0958333,126.1,107.9,115.5
PHSH-2015-11,131.4,109,106.9666667,106.2458333,160.8,75.5,85.1
ROBO-2015-11,135.1,128.9,124.8666667,122.8125,160.3,110.9,66.9
SHSR-2015-11,100.8,116.15,117.6666667,120.4791667,180.8,89.5,78.4
SLNH-2015-11,95.7,89.05,96.23333333,100.5625,163.6,59.3,101.6
SONG-2015-11,103,107.35,105.2166667,103.2041667,127.5,89,95.5
TGIF-2015-11,76.5,110.45,112.5166667,111.775,144.4,76.5,93.3
AFB-2015-12,108,86.9,87.3,88.55,132.8,65.8,111.9
ATOM-2015-12,121.4,114,110.1833333,108.0625,164.6,82.3,89.1
DMPS-2015-12,72.5,108.95,117.3666667,119.725,149.6,72.5,131
FLUF-2015-12,132.8,121.45,122.2333333,124.2458333,173.1,105.6,157.2
MCHO-2015-12,79.5,92.9,97.68333333,101.8708333,149.4,73.3,89.7
OCTO-2015-12,115.5,114.7,113.4333333,113.2708333,126.1,107.9,136.5
PHSH-2015-12,85.1,108.25,108.5,108.1166667,160.8,75.5,74.2
ROBO-2015-12,66.9,101,110.3,113.9416667,160.3,66.9,124.8
SHSR-2015-12,78.4,89.6,98.45,103.2541667,180.8,78.4,112.2
SLNH-2015-12,101.6,98.65,95.45,95.64583333,163.6,59.3,105.2
SONG-2015-12,95.5,99.25,101.95,102.7666667,127.5,89,82.6
TGIF-2015-12,93.3,84.9,93.41666667,98.19166667,144.4,76.5,120.7
AFB-2015-13,111.9,109.95,102.2666667,98.525,132.8,65.8,139.1
ATOM-2015-13,89.1,105.25,108.1666667,108.6708333,164.6,82.3,109.6
DMPS-2015-13,131,101.75,104.15,107.4541667,149.6,72.5,123.7
FLUF-2015-13,157.2,145,137.15,133.4208333,173.1,105.6,109.7
MCHO-2015-13,89.7,84.6,87.36666667,89.94583333,149.4,73.3,85.3
OCTO-2015-13,136.5,126,122.2333333,120.0333333,136.5,107.9,172.4
PHSH-2015-13,74.2,79.65,89.18333333,94.0125,160.8,74.2,99.6
ROBO-2015-13,124.8,95.85,97.56666667,100.75,160.3,66.9,124
SHSR-2015-13,112.2,95.3,93.4,94.6625,180.8,78.4,97.5
SLNH-2015-13,105.2,103.4,101.8166667,100.225,163.6,59.3,94.2
SONG-2015-13,82.6,89.05,92.45,94.825,127.5,82.6,110.7
TGIF-2015-13,120.7,107,99.63333333,98.07916667,144.4,76.5,123.9
AFB-2015-14,139.1,125.5,120.3166667,115.8041667,139.1,65.8,82.4
ATOM-2015-14,109.6,99.35,101.3166667,103.0291667,164.6,82.3,94
DMPS-2015-14,123.7,127.35,118.8166667,115.15,149.6,72.5,143.6
FLUF-2015-14,109.7,133.45,137.3,137.2625,173.1,105.6,121.2
MCHO-2015-14,85.3,87.5,86.53333333,86.74166667,149.4,73.3,124.7
OCTO-2015-14,172.4,154.45,144.9666667,139.2833333,172.4,107.9,110.8
PHSH-2015-14,99.6,86.9,84.48333333,85.65833333,160.8,74.2,77.2
ROBO-2015-14,124,124.4,114.8833333,110.5541667,160.3,66.9,129.2
SHSR-2015-14,97.5,104.85,101.6666667,99.6,180.8,78.4,86.4
SLNH-2015-14,94.2,99.7,100.9333333,101.1541667,163.6,59.3,114.2
SONG-2015-14,110.7,96.65,94.11666667,93.7,127.5,82.6,81.1
TGIF-2015-14,123.9,122.3,117.2,112.8083333,144.4,76.5,105.9
AFB-2014-5,138.6,135.15,133.8666667,133.1791667,138.6,130.6,112.8
ATOM-2014-5,121.1,109.5,102.5666667,98.79583333,121.1,79.5,105.8
DMPS-2014-5,129.5,139.15,132.5333333,128.5416667,148.8,89.8,109.4
FLUF-2014-5,138,108.55,102.1666667,100.0291667,138,79.1,102.5
MCHO-2014-5,93.7,100.75,105.7166667,110.0416667,152,93.7,121.8
MEGA-2014-5,72.6,76,82.83333333,87.5125,113.6,72.6,95.6
OCTO-2014-5,142.2,134.5,127.55,124.0041667,142.2,100.5,111.3
PHSH-2014-5,100.4,107.25,110.4333333,111.4625,119.5,100.4,109.6
ROBO-2014-5,88.5,97.35,106.5,110.7666667,143.4,88.5,115.1
SHSR-2014-5,103.2,96.45,100.1,102.6166667,125.1,89.7,109.6
SLNH-2014-5,70.4,86.15,93.66666667,98.3125,123.2,70.4,80.4
